Metin;Durum
urun cok guzel o fiyata alinabilecek en iyi urundur;1
Makinenin sakalınıza dokunması yetiyir gercekten güzel bazı premium markalara bunum 5 katı para verip beşte biri kadar bile verim alamayan biri olarak yazıyorum...;1
Ürün özellikle sakal traşı için oldukça iyi, saç tıraşı için tasarlanmamış oldukça kısa kesiyor fakat sorun yok. Saçlardan tamamen kurtulmak isteyenler için gayet ideal.;1
ürün fiyatına göre müthiş & Tutcar & Alın Bence BEDAVA;1
hasarlı ürün yollayıp değişim yapmayan bir firma;0
1. Şık 2. Hafif 3. Sağlam 4. Uzun şarj süresi 5. Standart ses yüksekliği 6. Geç gelen kargo Fiyat performans açısından notum tam.;1
Evet çok beğendim;1
emeği geçenlere teşekkür ederiz başarılı;1
Gayet güzel estetik bi cihaz kaliteli görünüyor;1
çok teşekkür ederim hayırlı ramazanlar;1
Anlatıldığı gibi güzel;1
ürüne söz yok fiyatinin en iyisi fakat paketleme olmamiş kargo posetine koyulup gonderilmis havali posete sarilabilirdi.;2
Fiyat ve performans iyi sac icin alinmaz sakal ve ense icin guzel pahali markalara gerek yok;2
Ürünü beğendim saç için pek uygun değil ama sakal için güzel ben saçlarımı kestim ama uğraştırdı tarakları az ve kısa daha çok sakal için bu ürün saçı çekme olayı olmadı beğendim keşke çok tarağı olsaydı en büyük tarağı 3 mm;2
Hem urunu hemde satıcıyı kesınlıkle tavsiye ederim. Bu donemde cok hızlı teslimat.;1
Ürünü viranşehire sipariş ettim. Bireciğe göndermişler. Yurtiçi kargo isteme adresimi diğer ilçeye vermiş.;0
Evet çok güzel bir cihaz herkese tavsiye ederim.şarjı çok iyi kesimi de çok iyi;1
sakal icin çok güzel bir makine. Saç icin uygun değil çünkü uçları çok kısa kesiyor. kısa saç kesmek isteyen teredütsüz alabilir. kargo çok hızlıydı emeği geçen herkese teşekkürler.;1
Ürün 0.1 mm kesiyor çok iyi;1
Ürün beklediğimden iyi çıktı neredeyse sıfıra yakın alıyor sakalları çekme vs. de yapmıyor.;1
SAKAL İÇİN ÇOK İYİ AMA SAÇI KESMİYOR ONA GÖRE ALIN...;2
dısarda bu fiyata dandik ürünler alacağıma burdan kuaförler için olandan alırım gayet kaliteli ve güçlü motoru var;1
Hayır. makinaya takılan tarakları iyi değil;0
Ürün geldiği gün iade ettim iade talebimde reddedildi paranızı çöpe atmayın ürün traş ederken kesmiyor yoluyor resmen!!!;0
Ben hem görüntü hem de işlevsel olarak bu fiyata bu kadar kaliteli bir ürün beklemiyordum. Bence kaçırmayın;1
Ürün dört dörtlük değil iki dörtlük bir ürün elime ulaşması 10 günden fazla sürdü önce firma geç kargoladı sonra kargo hatalı gözüktü 18 ocakta teslim edilmiş olarak gözüktü sonra tekrar tekra hatalarla dolu bir serüven yaşadım. Baktım olacak gibi değil gittim kendim aldım kargo şubesinden ürüne gelince sakal ve ense için ideal ama saç için tavsiye etmem hem taraklar yetersiz hemde küçük makina...;0
Sakal,Ense için alın tereddüt etmeyin.Satıcı güvenilir. Bu ürünü burdan başka bir yerden bu kadar ucuza alamazsınız en ucuz şuanda burası. Saç için Powertec TR-3200 alın fakat 130-150? bandına inmesi lazım şuan ürün olmadığı için fiyatlar yüksek bekleyin.;1
Arkadaşlar ürün çok iyi degil bundan önce bu markanin bir ucuz modelini kullanmıştım o daha iyi;0
evet ürün anlatıldığı gibi;1
Kaliteli ürün başarılı mağaza pazar günü teslimat yapan yurtiçi kargo hepsine Tşk ederim;1
Urun genel olarak iyi, şarjı dolu olarak geldi aralıksız 35 dk çalıştı gücünde bir eksilme olmadı. eğer sacinizi çok kısa kesmeyecekseniz ürün ile gelen taraklar işinize yaramaz ayrıca büyük numara taraklar almanız gerekir..;2
sakal için ideal;1
Ürünü eşim ve oğlum için aldım. Sıfır sakal kesimi olmuyor. Saç kesimi rahattı. Memnun kaldılar.;2
Güzel ürün hızlı kargo;1
güzel bir ürun almanizi tavsiye ederim parasini fazlasiyla hakediyor;1
Ürün fiyatına göre gayet iyi. Farklı boylarda tıraş yapablmeniz için 3 adet tarağı var. Hiçbir tarak kullanmadığınızda ise jilete yakın kesiyor. Şarjı da iyi dayanıyor.;1
hayır arkadaşlar sakın burda bişey almayın;0
Parasına göre çokiyi parasının alabileceği en iyisi. Gayet güzelkesiyor tavsiyeederim;1
Beğendim. Zamanında ve eksiksiz geldi. Teşekkürler;1
Dediğim gibi saç makinası değil sakal ve ense düzeltme makinası diyorlar kuaför arkadaşlarım. Ama ben tek seferde sorunsuz bir şekilde kafamı sıfıra vurdum. Bende başarılı ama dediğim gibi ben anlamam sadece denileni ve YouTube da izlediğim kuaför yorumlarından böyle yazdım almak isteyenler kendileri bilir ben memnun kaldım benim için yeterli.;2
"Ürünü ben de birçoğumuz gibi karantina sürecinde aldım. Alırken tereddütlerim vardı ancak ilk kullanımdan sonra zerre kadar kuşkum kalmadı. Nerdeyse 3 aya yakın kesmediğim saçım ve 1 aya yakın kesmediğim sakalım vardı. Makineyi eşime teslim ettim ve saçlarımı 3mm tarağı ile sakallarımı da tarafsız sıfır şekilde kestik. Sonuç, gayet iyi. Sıfıra yakın alıyor. Saçta kullanılmaz diyenler vardı. Bu konuda tereddütlerim vardı ancak gerçekten uzun olan saçlarımı gayet iyi aldı. Elbette 3 dakikada yapmadık saç tıraşını ancak bu bütçede bir makine için gayet iyi aldığını düşünüyorum ve en önemlisi ne saçta ne sakalda hiçbir şekilde ""çekme"" yapmadı. Zira bundan Philips 5050 serisi ve Braun olmak üzere iki farklı makine kullandım ve inanılmaz çekiyordu. Kısacası kısa saç sevenler için gayet ideal bir cihaz. Makine hakkında tek eksik puanım tarak çeşidi olabilir. 3 farklı tarak geliyor. En büyüğü 3 MM idi. 6 ve 9 MM tarak da olsa değme keyfine...";1
evet gayet başarılı;1
güzel herkes begenir;1
Ürün çok güzel bir sakal makinesi fakat  saç için sakın almayın;2
Babama aldım gayet memnun;1
Güzel görünüyor. Kullanım sonrası göreceğiz.;2
Güzel ürün iletişimi iyi satıcı teşekkürler...;1
Fiyatına göre kesinlikle başarılı. Tavsiye ederim. Sadece sıfıra yakın kesim yapabiliyorsunuz, en büyük başlık 3mm. Bence o da 2 gibi alıyor.;2
Gayet güzel ürün tavsiye ederim içiniz rahat sipariş verebilirsiniz.;1
ayet güzel çalışıyor. Parasına göre iyi diye düşünüyorum.;1
Makineden memnun kaldık , bir kaç arkadaşta tavsiyem üzerine aldı memnun kaldılar;1
ürün güzel fiyatına göre hakkını fazlasıyla veriyor. fakat ürün ile birlikte herhangi bi fatura gelmedi. e-fatura olarak da herhangi bi mail gelmedi bu durum hoş değil;2
ürün cok güzel tam istediğimiz gibi;1
Ürün iyi, ekstra bir iki tarak daha olsa mükemmel olurdu;1
birçok makineye göre daha kısa alıyor. Tek kusuru 1-2-3 numara başlıklar var sonrası için başlık yok. oda çok önemli değil.;2
Ürünü fiyatına göre gayet kullanışlı tek sevemedigim şeyi tarak sayısı az olması. Sakal ve saç keserken rahatlıkla kullanabilirsiniz;2
Ehhh fena değilden ötesini diyemem;2
Bu ürünü kesinlikle uzun saçlarınızı saç telinizin uzunluğu 2-3 cm ise en az kesmek için kullanmayın. Bu makine tamamıyla ince işler için yapılmış. Sakal ve tüy kesimi gibi. Zaten kutudan çıkan tarakların büyüklüğü de saç kesimi için yeterli değiller.;0
Saç kesimi yaptım ama bu fiyatına göre yine de iyi sayılır.sakal ve vucut kılları için daha ideal bir ürün.;2
Evet oğlumun traşı için aldım ama eşimde yararlanıyor;1
ürün gayet güzel bıçaklari gayet keskin bu fiyata göre de fazlasıyla iyi ama sakal icin ideal saç kesmeye almayin cok keser birde ağzına takılan başlıkların takılması biraz zor;2
hassas kesim yapiyor. şarjı iyi gidiyor. 1-2-3 mm taraklari markasi cok bilindik urunlerin 2-3-4 mm civarina denk geliyor. ben normalde braun veya philipste 3mm kullanirken ayni uzunluk icin powertecte 2mmyi kullandim. taraklar hicbir sekilde batma yapmiyor. bicak da cekme yapmiyor.;1
Hızlı gönderi kaliteli ucuz ürün. Teşekkürler;1
Basliklar cok kotu 3 numara tras olamazsiniz kesmiyor sadece 0 kesim sac ve sakal için uygun bunu baz alarak satin alabilirsinoz sadece 0 kesim iyi;2
Sakallar için ideal. Motoru kuvvetli.;1
Genel olarak yorumlarsam mağaza kargo ürün vs herhangi sıkıntı olmadı , emeği geçenlere teşekkür ederim . Üründe gayet kullanışlı oda tamam .;1
Ürün gercekten fiyatını hak eden bir ürün ve oldukca küçük olması ve sesinin az çıkması mükemmel saç tıraşı için alacaksanız önerim almayınız bu makine sakal ve ense traşı için birebir...;2
Ya siz ne biçim insanlarsınız ayıplı mal satıyorsunuz niye geri almıyorsunuz;0
Tasarımı güzel pratik kullanışlı. Yalnız taraklar ile verimli kullanım sağlamıyor.Yine de fiyatına göre oldukça başarılı.;2
ürün çok iyi yağ gibi akıyor parasını sonuna kadar hakkediyor hızlı kargo hem ucuz hemde iş görüyor yüksek meblağ bağlamanıza gerek yok sakal tıraş ı için aldım harika ürün;1
ürünü aldım. kullandım ..sakal cizmek ve kesmek icin cok güzel bir cihaz..aparatsiz kullandığınızda bir günlük sakal gibi kesebiliyor.cok güçlü bir cihaz sakalınızı asla çekmiyor. bu paraya alınabilecek en iyi sakal kesim cihazıdır...ama seç kesimi için uygun değil alan arkadaşlar bunu göz önünde bulundursunlar.;2
Ürünü beğendim ama yurtiçi kargo için aynı şeyi söyleyemem.;2
Pişman etmeyecek bir makine;1
Begendim is görürr;1
on numara on yildiz;1
evet çok harika saglam;1
Ayni markanin saç kurutmasını da kullanıyorum. Yerli,kaliteli ve ucuz.Tel şarzı ayrı bir güzel olmuş.Şarzdaykende kullanılabiliyor. Teşekkürler;1
evet...daha öncede bir tane almıştım, ne geleceğini biliyordum..;1
Babamı tras etmek için aldım berberler acilana kadar bi kac kez tras etse yeter duye dusunuyordum ama urun cok guzel uzun yillar kullanacagim kalitede çok memnunum;1
Asiri uzayan saclarimi yaklasik yarim saatte guzelce kesti. Ev kullanimi icin ideal. Sac kesmiyor demek haksizlik olur birkac kere tekrar ile guzel kesiyor. Ayrica 3 mm tarak 1 numara tras demek. 3 mm yi 3 numara tras diye dusunmeyin. Ben o hataya dustum 3 numara tras diye olduk 1 numara cikti. 3 mm=1 numara 6mm=2 numara 9mm=3 numara aklınızda bulunsun;2
Ürünü denemedim ama çalışması güçlü kutusundada aslında ense sakal yazıyor yinede bir şekilde saç kesim işinizi görür. Kutu içeriside düzenliydi. Kargoya laf edenler bu satıcının bir suçu değil benim kargom 1 günde istanbula geldi ve ertesi gün teslim edildi.;1
ürün gerçekten yeterli, iyi bir ürün, boşu boşuna diğer ürünlere fazla para vermeyin;1
Ben ürünü daha önce berberde gördüm ve kullandım gerçekten jiletle nerdeyse aynı alıyor;1
Sakal ve ense traşı için ideal, 3 tarak olduğunu bile bile aldım fakat saç traşı için çok uygun değil, taraklardan dolayı yetersiz. Eğer saçınızı 3 numara yapacağım derseniz gayet uygun, eğer yanları kesip kat yapmak isterseniz bu cihazla yapamazsınız, ben yapamadığım için saçın hepsini 3 numarayla aldım.;2
Ürün açıklamalarda anlatıldığı gibiydi;1
saç traşı için hiç uygun değil arkadaşlar saçlar rezil oldu;0
çok güzel tavsiye edrim;1
kısa saç sakal sevdiğim için tam benlik makine yorumlarda saçı taraklarının küçük numara olduğu için kısa kestiğini yazmış alan arkadaşlar bu nedenle tercih etme sebebim oldu, bin tl civarı makinelere de baktım hiç gerek yok fazla para vermenize bu makine işinizi fazlasıyla görür;1
Hızlı Kargo ve güzel ürün teşekkür ederiz.;1
Ürün güzel fakat kargodan dolayı sarsılmış ve paketi ezilmiş.;2
Teşekkürler ürün bence de çok güzel, en avantajlı yönü şarjlı ve kablolu kullanımı olması,;1
Açar açmaz hemen ilk işim sakal tıraşı oldum. 10 günlük sakalım vardı 5 dk da sıfır olmasada hallettim. Ürünü beğendim;1
Sakali harika aliyor.Saçta denemedim.Ürün sorunsuz pahali markalara gerek yok bilinen marka zaten;1
ben saç tıraşı için almıştım..traş yaptı fakat bı saatte uzun saçı ancak kesebildim..bu ürün sadece ense temizler, sakalları alır.saçlarınız için kesinlikle almayın derim..iadeyle uğraşmak istemiyorum..ne kadar para o kadar köfte;0
Ürün çok güzel istediğim gibi. Ama yurtiçi kargo tam bi rezalet! Hevesle aldığın üründen tiksindiriyorlar insanı. Yurtiçi kargo pişmanlıktır!;2
beğenmedim 5 kuruş etmez sakal için idare 100 daha koyup braun alın kaliteli yapıyorlar;0
Ürün elime ulaştı direkt kuyu açar açmaz taraklarına baktım. Çünkü hem saçımı hemde sakalımı traş ederim diye düşünürken tahminimden daha kısa taraklar çıktı. En büyüğü 3mm. Ürün açıklamasında da detayları yazmıyor, 3 adet tarak yazıyor. Benim işime yaramayacağı için işyerinde ki arkadaşım ürün paketini açar açmaz bana uygun dedi. Ona verdim. Çalıştırdı sıkıntı yok şarjıda iyi dedi. Alacaklara duyurulur.;2
bu makine saç tıraşı için uygun değil en büyük tarağı 3mm yani 3 numara sakal ve ense tıraşı için güzel;2
Ürün çok iyi hem saç hem sakal kullandım elimdeki daha pahalı ve tanınmış başka bir markadan bin kat daha iyi kesinlikle hiç düşünmeden alın. Bu paraya bedava.;1
yeni aldım ilk ufak caplida olsa test sürüşü yapabildim. kaba bir ürün değil, fiyat performans olarak ilk deneyim oldukça memnun edici.;1
Fiyat performansa göre harika bir ürün.İlk saç tıraşımızı yaptık.Güzel ,takılmadan kesti.;1
Urun anlatıldıgı için gibi ama kargo gec geldi olsun bu ara kargolar yoğun arkadaslar sabreden dermiş muradına ermiş hayırlı ramazanlar;2
evet çok beğendim;1
İstediğim işi görmedi.;0
Ürünü begendim is gören bi makina ilk kez kendi kendimi traş ettim 30 dk icinde hallettim gayet iyi kesiyor küçük şık bir makina . Verilen parayi hak ediyor . Aparatlari kutu icerisi dandik onlarda cok önemli degil;2
İçinde 3 tarak var 3 numara bile asker traşı yapıyor yedek tarağı alamıyorsunuz saç İÇİN ASLA !;0
ense ve sakalar için biçilmiş kaftan;1
Ürün çok kullanışlı. Sıfıra yakın traş sağlıyor. Gerçekten çok kullanışlı. Typ-B soket ile şarj edilebilir olması ayrı bir güzel. Uzun vadede ne kadar dayanıklıdır bilemem ama şimdilik herşey yolunda görülüyor.;1
Makina güzel iyi sakal için sıfıra yakın alıyor tavsiye edebilirim.;1
bıçakları çok kücük sakal ense favori gibi yerlerde kullanılabilir. tarakları bile direk 3 numaradan başlıyor saç KESMEZ...;0
makina özellikle sakal traşı için çok güzel,kaliteli ama sac traşı için düşünenler için küçük olur.;2
gayet güzel ürün aynı markanın saç kurutma makinasını da kullanıyorum çok memnunum;1
Almayı düşünen arkadaşlar bir dakika bile vakit kaybetmeden alsın derim ürün gerçekten süper çok kaliteli hemen alın malûm bu ara fiyatlar çok çabuk yükseliyor kaçırmayın. Mağazayı da öneririm hiç sıkıntı yaşamadım iletişim olsun kargo olsun tavsiye ederim;1
Ürün çok iyi. Moser cromini den de iyi;1
Sakal tıraşı için ideal ama taraklarla saç kesmede biraz zorluyor. Taraksız saç keserim derseniz on numara. Yani her türlü iş görür tavsiye ederim;1
Pahalı, marka ürün almaya gerek yok, bu alet canavar gibi çalışıyor. Gayet güzel kesiyor.;1
ürün anlatıldığı gibiydi.kesimi güzel yolmuyor.parasını fazlasıyla hak ediyor.ancak kılavuz tarak sayısı daha fazla olsaydı daha iyi olurdu.kısa sac için ideal.sakal için ise yeterli.tabi jilet gibi olmuyor.;2
Ürün güzel küçük olmasına rağmen 2 çocuğun saçını kesebildim kendimde traş oldum baya kısa kesiyor sakal traşı için alınabilir fakat saç için uygun değil ona göre alın ürün 3 günde elime ulaştı;2
makine güzel uçları yersiz devamı olsaydı saç tıraşı kolay yapılırdı yinede güzel kullanışlı;2
POVERTEC TR 658 Traş makinesi sakal tıraşı için ideal, ama saç için pek uygun değil çünkü yeterli başlık tarakları yok enseyi filan idare eder, güzel şık bir makine herkese tavsiye ediyorum.;2
Beklediğimin üstünde bir ürün oğullarımın ve benim saçlarımı ki uzundur hepimizin bir traş makinasın olmasına rağmen hiç takılmadan süper kesti;1
Ürünü yorumları okuyarak aldım. ilk traşım gayet güzel di. memnun kaldım. alacak kişilere tavsiye ederim fiyat performans ürünü gayet güzel makine. teşekkürler.;1
Ürün doğru geldi.Fenada sayılmaz.Ama çok keskin değil.Sakalımı 2.turda hallettim.Fiyatına göre iyi.Magaza sahibine sesleniyorum.Stoğunuz mersinde bende mersinde yaşıyorum.Ama ürün 4-5 gün arası geliyor.Anlaşmalı kargo şirketinizi değiştirin bence.;2
ürün evet çok güzel kibar ve kullanışlı beklediğim gibi geldi şurda 2 sorun var anlaşılmayan 1 fatura ail adresine göndericez deniliyo ama hala öyle bi faturam gelmedi 2 kargo firması taşıma esnasında ürün kutusu zarar görmüş yırtılmış yetkililerin korgo firmasını uyarması gerek;2
Ürün anlatıldığı gibidir. Fiyat performans açısından gayet güzel kullanışlı bir ürün Teşekkürler.;1
ürün çok güzel sessiz çalışıyor çok da güzel kesiyor sakal trasi için ideal;1
ürün geldi hemen kullandım şarjı var olan şarja baya uzun süre kullandım hala bitmedi gücü azalmadı 3 tane başlığı var saçlarım baya uzamıştı işimi gördü tavsiye ederim;1
Beğendik. Zaten normalde kısa saçı seven birisiyim. Ürünü alır almaz hem kendimi traş ettim hem oğlumu. Sonuç gayet başarılı. Kısa saç düşündüğüm sürece berbere bi daha gideceğimi sanmıyorum.;1
10 numara 5 yıldız;1
Ürün güzel. Tam istediğim gibi;1
merhabalar sakal traşı için süper makina.hiç düşünmeden alın derim.;1
Yorumlara bakarak aldım sakal kesmek ızdırap oldu.ayni markanın siyah olan modeli vardı o daha iyiydi;0
ürün fiyatına göre çok iyi kesinlikle kaçırmayın;1
Cihaz küçük boy, profesyonel büyük boy değil.Ense,kulak üstü fazlalıkları almak, biraz düzeltme yapmak için ise iyi iş görüyor, pil süresi yeterli.;2
Ürün kalitesi güzel tavsiye ederim;1
ürün gayet iyi vaktinde ulaştı gayet iyi kesiyor ilk defa iyi kesen makine gördüm sanırım tek sıkıntı dişleri çok kısa 3 ayarı en yüksek diş uzun sakal bırakmak istiyorsanız almayın ancak kısa sakal için gayet iyi puan kırma sebebim zor günlerde fiyatın bu derece artması;2
Fiyat konusunda ve performans olarak harika;1
fiyatına göre gerçekten iyi sayılabilecek bir makina derdiniz sakal kesmek ise kesinlikle işinizi görecektir ama saç için çık fonksiyonel değil 1 numara ve altı için geçerli taraklari var yani 0 ve 1 numara saç ile gezerim diyorsanız işinizi görecektir onun haricinde çok kullanışlı değil saç trasi için zaten ara kesinlerini yapacak mandalı yok makinanın bilginize;2
Mağaza sorulara geç cevap veriyor, kargoyu geç verdi ve kargoda geç getirdi. Ürüne gelirsek ürün iyi fakat saç kesimine biraz zayıf. Yine de işinizi görür, memnun kaldım.;2
Daha önce povertec in bir eski modelini kullanıyordum. Ama bu bir başka güzel çıktı. Bu kaliteyi bu fiyata sunanlar dan Allah razı olsun.;1
Ürün güzel kaliteli duruyor;1
fiyat ve yaptığı olarak iyi;1
ürün beklediğimden çok daha iyi çıktı. saç sakal kesimi gayet iyi. makine küçük olmasına rağmen performans açısından çok başarılı. ağız yapısından dolayı kıvrımlı bölgelerdeki saçı ve sakalı daha iyi alıyor. Bu ürünü tavsiye edenler haklıymış.;1
Yeni meslek Harika ürün düşünmeden alın;1
Taraklardan bir tanesi fabrikasyon hatalı çıktı.mağaza çok hızlı dönüş yaptı. Ama bi şey yapamayacaklarını yedek tarağının olmadığını söyledi ??;0
10 numara bir ürün kesinlikle tavsiye ediyorum. f/p;1
Çocuğun saçları 3 numaralı tarak ile kestim. Sorun çıkarmadı. Tek sorunu tarak sayısı. 1-2-3 nolu taraklar var ve en büyük tarak bile çok kısa kesim yaptı. Keşke 6-9-12 vb. tarakları da olsaydı.;2
idare eder makina biraz daha büyük olsa saç tıraşı için daha uygun olur.;2
kesşnlikle tavsiye etmiyorum!!;0
Markalı ürünlerin yaptığının fazlasını karşılar, Ama saç icin almayın, Daha çok sakal ve ense icin tercih edilmelidir.;2
Başarılı. Fiyat performans başarılı.;1
evet urun resimlerde gorundugu gibi;1
Ürün gerçekten profesyoneller için yapılmış. Kesinlikle tavsiye ederim. Ürün performans maliyet kıyaslarsam bence en iyisi. Sizlere alın diyorum lakin bundan sonra kuaföre gitmezsiniz diye de çekiniyorum.;1
Ürün sıfır kutuda geldi. Makine çok kibar ve ergonomik. Ben resimlerden büyük bir makine diye tahmin ediyordum fakat öyle değil. Denedim kesinlikle çekme vs yapmadı. Tek eksi yanı 3 adet başlık bulunması. En büyüğü 3 mm. Başka herhangi bir kusuru yok. Ayrıca mağazaya da paketleme ve kargolama ile ilgili teşekkür ediyorum.;2
Biraz küçük gibi ama çok şık ve kullanışlı.Kesmesi çok iyi,asker traşı olmak için on numara.;1
Ürün çok şık ve kullanışlı ??;1
bu mağazadan alış veriş yapacaksanız üründe hata veya bi sorun yaşarsanız kesinlikle geri almiyolar 1 ay dır uğraşıyorum hasta babam var traj etmek için aldım ürün hatalı çıktı gönderdim ne iptal ettiler nede ürünü gönderdiler geriye değişim yapın dedik onuda yapmadılar ürün alacaksanız bu mağzadan geri almazlar asla ona göre yapın .;0
kesinlikle tavsiye etmiyorum paranızı çöpe atarsınız.;0
Evet ürünü çok beğendim;1
Harika ancak bir kaç çeşit daha başlık koysalardı daha iyi olurdu,1 mm,2 mm,3 mm.var iş goruyor ama sac icin cok kisaltiyor, 6 mm ve 12mm. de olsa tam olurdu..;2
Ürün gayet güzel ve kullanışlı. 3 başlıkla beraber geliyor ve başlıkla bile hızlı kesiyor. En uzun başlığı 3 numara saç gibi.;1
Ürünü yorumlara bakarak satın aldım.Yaklaşık iki haftalık sakalımı hiç uğraştırmadan,ikinci bir perdeye gerek kalmadan rahatça kesti,motoru oldukça güçlü. Daha öncesinde bilindik pahalı markaların muadil ürünlerinden 3 tane eskittim. Abartmıyorum,bu daha iyi çıktı. Ömrü ne kadar olur bilemem ama bozulsa da pahalı olmadığı için üzülmem. Yalnız saç tıraşı için uygun değil,bilginize. Taraksız sıfır alıyor ,tarakları da çok ince. Sakal ve ense temizliği için gayet ideal. Tavsiye ederim.;2
Ürün iyi satıcı sıkıntılı.;2
Güzel göründüğü gibi;1
Berberimde gördüm. Akşamına araştırdım, sipariş verdim. makina geldi memnunum ??;1
Sıfır sakal imkansız ancak makine güçlü. Tavsiye ederim;1
Ürünü araştırıp aldım. Ürün anlatıldığı gibi gayet şık ve kullanışlı. Sakal da kullanım için aldım. Sakalımı gayet güzel aldı. Yani 1 veya 2 günlük sakal uzunluğunda kalıyor. Benim için yeterli. Uzun vadede keskinliği ve sağlamlığını göreceğiz.;1
